"AFG","Afghanistan","Eastern Mediterranean","Low-income"
"AGO","Angola","African","Lower-middle-income"
"ALB","Albania","European","Upper-middle-income"
"AND","Andorra","European","High-income"
"ARE","United Arab Emirates","Eastern Mediterranean","High-income"
"ARG","Argentina","Americas","Upper-middle-income"
"ARM","Armenia","European","Upper-middle-income"
"ATG","Antigua and Barbuda","Americas","High-income"
"AUS","Australia","Western Pacific","High-income"
"AUT","Austria","European","High-income"
"AZE","Azerbaijan","European","Upper-middle-income"
"BDI","Burundi","African","Low-income"
"BEL","Belgium","European","High-income"
"BEN","Benin","African","Lower-middle-income"
"BFA","Burkina Faso","African","Low-income"
"BGD","Bangladesh","South-East Asia","Lower-middle-income"
"BGR","Bulgaria","European","High-income"
"BHR","Bahrain","Eastern Mediterranean","High-income"
"BHS","Bahamas","Americas","High-income"
"BIH","Bosnia and Herzegovina","European","Upper-middle-income"
"BLR","Belarus","European","Upper-middle-income"
"BLZ","Belize","Americas","Upper-middle-income"
"BOL","Bolivia (Plurinational State of)","Americas","Lower-middle-income"
"BRA","Brazil","Americas","Upper-middle-income"
"BRB","Barbados","Americas","High-income"
"BRN","Brunei Darussalam","Western Pacific","High-income"
"BTN","Bhutan","South-East Asia","Lower-middle-income"
"BWA","Botswana","African","Upper-middle-income"
"CAF","Central African Republic","African","Low-income"
"CAN","Canada","Americas","High-income"
"CHE","Switzerland","European","High-income"
"CHL","Chile","Americas","High-income"
"CHN","China","Western Pacific","Upper-middle-income"
"CIV","Côte d'Ivoire","African","Lower-middle-income"
"CMR","Cameroon","African","Lower-middle-income"
"COD","Democratic Republic of the Congo","African","Low-income"
"COG","Congo","African","Lower-middle-income"
"COK","Cook Islands","Western Pacific",\N
"COL","Colombia","Americas","Upper-middle-income"
"COM","Comoros","African","Lower-middle-income"
"CPV","Cabo Verde","African","Upper-middle-income"
"CRI","Costa Rica","Americas","High-income"
"CUB","Cuba","Americas","Upper-middle-income"
"CYP","Cyprus","European","High-income"
"CZE","Czechia","European","High-income"
"DEU","Germany","European","High-income"
"DJI","Djibouti","Eastern Mediterranean","Lower-middle-income"
"DMA","Dominica","Americas","Upper-middle-income"
"DNK","Denmark","European","High-income"
"DOM","Dominican Republic","Americas","Upper-middle-income"
"DZA","Algeria","African","Upper-middle-income"
"ECU","Ecuador","Americas","Upper-middle-income"
"EGY","Egypt","Eastern Mediterranean","Lower-middle-income"
"ERI","Eritrea","African","Low-income"
"ESP","Spain","European","High-income"
"EST","Estonia","European","High-income"
"ETH","Ethiopia","African",\N
"FIN","Finland","European","High-income"
"FJI","Fiji","Western Pacific","Upper-middle-income"
"FRA","France","European","High-income"
"FSM","Micronesia (Federated States of)","Western Pacific","Lower-middle-income"
"GAB","Gabon","African","Upper-middle-income"
"GBR","The United Kingdom","European","High-income"
"GEO","Georgia","European","Upper-middle-income"
"GHA","Ghana","African","Lower-middle-income"
"GIN","Guinea","African","Lower-middle-income"
"GMB","Gambia","African","Low-income"
"GNB","Guinea-Bissau","African","Low-income"
"GNQ","Equatorial Guinea","African","Upper-middle-income"
"GRC","Greece","European","High-income"
"GRD","Grenada","Americas","Upper-middle-income"
"GTM","Guatemala","Americas","Upper-middle-income"
"GUY","Guyana","Americas","High-income"
"HND","Honduras","Americas","Lower-middle-income"
"HRV","Croatia","European","High-income"
"HTI","Haiti","Americas","Lower-middle-income"
"HUN","Hungary","European","High-income"
"IDN","Indonesia","Western Pacific","Upper-middle-income"
"IND","India","South-East Asia","Lower-middle-income"
"IRL","Ireland","European","High-income"
"IRN","Iran (Islamic Republic of)","Eastern Mediterranean","Upper-middle-income"
"IRQ","Iraq","Eastern Mediterranean","Upper-middle-income"
"ISL","Iceland","European","High-income"
